,id,link,Adress,zip,city,size,price,sq_m_price,lotsize,ejerudbetaling,buildyear,energy_class,downPayment,n_rooms,selfsale,dawaID,latitude,longitude,boliga_plus
47,1814123,https://boliga.dk/bolig/1814123,"Livøvej 3, Amtoft",7742,Vesløs,62,695000,11209.0,2335,1010,1972,-,35000,3.0,False,0A3F50C6-1C78-32B8-E044-0003BA298018,57.0092,8.96465,"{'skybrud': 2, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 3, 'radon': 9, 'jordforurening': 1, 'luftforurening': 2, 'opklaringspct': -999.0, 'risk': 4}"
48,1813851,https://boliga.dk/bolig/1813851,Bøgedal 11,8643,Ans By,51,725000,14215.0,1622,783,2015,-,40000,2.0,False,0A3F50C5-205A-32B8-E044-0003BA298018,56.30251,9.64235,"{'skybrud': 0, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 2, 'radon': 7, 'jordforurening': 1, 'luftforurening': 3, 'opklaringspct': 0.09, 'risk': 5}"
49,1813892,https://boliga.dk/bolig/1813892,"Hans Hansensvej 61, Houstrup",6830,Nørre Nebel,52,795000,15288.0,1396,1727,1976,-,40000,3.0,False,0A3F50B8-6ED2-32B8-E044-0003BA298018,55.78481,8.23576,"{'skybrud': 3, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 6, 'radon': 4, 'jordforurening': 1, 'luftforurening': 2, 'opklaringspct': 0.06, 'risk': 2}"
50,1814133,https://boliga.dk/bolig/1814133,"Ingeborgvej 2 Dør/lejl. 1003, Munkens Klit",9480,Løkken,100,945000,9450.0,101817,2622,1978,-,50000,4.0,False,0A3F50C8-DCDC-32B8-E044-0003BA298018,57.33137,9.67913,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 4, 'radon': 6, 'jordforurening': 1, 'luftforurening': 1, 'opklaringspct': 0.07, 'risk': 1}"
51,1813860,https://boliga.dk/bolig/1813860,Poppelvænget 8,4850,Stubbekøbing,68,995000,14632.0,800,1402,1970,-,50000,3.0,False,0A3F50B0-E219-32B8-E044-0003BA298018,54.93102,11.97606,"{'skybrud': 5, 'stormflod': 4, 'vandloeb': 0, 'grundvand': 5, 'radon': 9, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.14, 'risk': 1}"
52,1813939,https://boliga.dk/bolig/1813939,"Grævlingehaven 19, Ellinge Kohave",4573,Højby,66,1095000,16590.0,1273,1248,1977,-,55000,4.0,False,0A3F50AF-2BB4-32B8-E044-0003BA298018,55.89637,11.56475,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 2, 'grundvand': 6, 'radon': 7, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.02, 'risk': 3}"
53,1814063,https://boliga.dk/bolig/1814063,"To-Bjerg 100, Uglerup",4300,Holbæk,49,1095000,22346.0,1260,948,1974,-,55000,3.0,False,0A3F50AD-6E67-32B8-E044-0003BA298018,55.78177,11.68996,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 6, 'radon': 7, 'jordforurening': 1, 'luftforurening': 3, 'opklaringspct': 0.04, 'risk': 1}"
54,1814090,https://boliga.dk/bolig/1814090,Æblevej 63,3770,Allinge,47,1095000,23297.0,27544,1545,1976,-,55000,3.0,False,D31C0A0E-CA61-4402-AA7B-0A7E54BC5980,55.27074,14.80605,"{'skybrud': 5, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 3, 'radon': 3, 'jordforurening': 2, 'luftforurening': 4, 'opklaringspct': -999.0, 'risk': 1}"
55,1814013,https://boliga.dk/bolig/1814013,Bolværksstræde 27,4983,Dannemare,71,1195000,16830.0,1015,1208,1978,-,60000,4.0,False,0A3F50B1-09C3-32B8-E044-0003BA298018,54.7104,11.22663,"{'skybrud': 9, 'stormflod': 4, 'vandloeb': 0, 'grundvand': 8, 'radon': 7, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.13, 'risk': 8}"
56,1814014,https://boliga.dk/bolig/1814014,Vermundsvej 15,3630,Jægerspris,76,1195000,15723.0,1299,1223,1961,-,60000,3.0,False,0A3F50AA-4BFC-32B8-E044-0003BA298018,55.93127,11.91694,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 7, 'radon': 6, 'jordforurening': 2, 'luftforurening': 4, 'opklaringspct': 0.04, 'risk': 1}"
57,1814062,https://boliga.dk/bolig/1814062,"Engvej 25, Kisserup",4300,Holbæk,76,1245000,16381.0,950,1040,1977,-,65000,3.0,False,0A3F50AD-36B9-32B8-E044-0003BA298018,55.78541,11.71412,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 5, 'radon': 7, 'jordforurening': 2, 'luftforurening': 3, 'opklaringspct': 0.04, 'risk': 2}"
58,1813852,https://boliga.dk/bolig/1813852,Rørsangervej 7,8420,Knebel,61,1249000,20475.0,1247,1597,1979,-,65000,4.0,False,0A3F50BF-8BAA-32B8-E044-0003BA298018,56.11805,10.54567,"{'skybrud': 1, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 3, 'radon': 9, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.01, 'risk': 1}"
59,1814146,https://boliga.dk/bolig/1814146,"Bjerregårdsvej 303, Bjerregaard",6960,Hvide Sande,79,1345000,17025.0,1581,2733,1977,-,70000,3.0,False,0A3F50BD-E4BB-32B8-E044-0003BA298018,55.86657,8.16637,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 5, 'radon': 4, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.05, 'risk': 1}"
60,1813906,https://boliga.dk/bolig/1813906,"Rønnevej 19, Furreby",9480,Løkken,94,1395000,14840.0,2682,2156,1972,-,70000,4.0,False,0A3F50C8-A83A-32B8-E044-0003BA298018,57.38786,9.73313,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 4, 'radon': 7, 'jordforurening': 1, 'luftforurening': 1, 'opklaringspct': 0.07, 'risk': 7}"
61,1814025,https://boliga.dk/bolig/1814025,"Lønne Feriepark 42, Houstrup",6830,Nørre Nebel,84,1395000,16607.0,355,3018,2006,-,70000,4.0,False,16D19F5B-EC24-16BD-E044-0003BA298018,55.78674,8.24829,"{'skybrud': 1, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 6, 'radon': 3, 'jordforurening': 1, 'luftforurening': 2, 'opklaringspct': 0.06, 'risk': 2}"
62,1813850,https://boliga.dk/bolig/1813850,Sneppevej 15,8950,Ørsted,80,1475000,18437.0,1243,1401,2006,-,75000,4.0,False,0A3F50C1-79E5-32B8-E044-0003BA298018,56.5467,10.36864,"{'skybrud': 0, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 6, 'radon': 5, 'jordforurening': 1, 'luftforurening': 2, 'opklaringspct': 0.05, 'risk': 9}"
63,1814078,https://boliga.dk/bolig/1814078,Nannasvej 9,3370,Melby,89,1475000,16573.0,1600,1816,1970,-,75000,4.0,False,0A3F50A8-90FB-32B8-E044-0003BA298018,55.99028,11.99387,"{'skybrud': 3, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 2, 'radon': 7, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.02, 'risk': 5}"
64,1813914,https://boliga.dk/bolig/1813914,"Lærkevænget 23, Bork Havn",6893,Hemmet,92,1495000,16250.0,832,1863,2006,-,75000,4.0,False,0A3F50BD-4689-32B8-E044-0003BA298018,55.83609,8.27784,"{'skybrud': 8, 'stormflod': 4, 'vandloeb': 4, 'grundvand': 9, 'radon': 3, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.09, 'risk': 3}"
